,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
0,,,,,,,1,,,,,1,930,,,,,All device,,,,,,,1.0,,10,,,,i,,1857,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Hello,,1,,,,
1,,,,,,Unique Business,1,,,,,1,1859,,,,,Hello,,,,,,,2.0,,10,,,,i,,1858,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hi,,1,,,,
2,1,2018-12-06,,,,EDICO,1,week,1,1,,1,1900,,,,,TestChannel,,2018-12-06,1,,,,1.0,,,,,,,,3749,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Hello World,,1,,,,"['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat']"
3,1,2018-12-06,,,,EDICO,1,day,1,1,,1,1900,,,,,TestChannel,,2018-12-06,1,,,,1.0,,,,,,,,3749,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,test,,1,,,,"['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat']"
4,,,,,,台中市溪南國中,1,,,,,1,1962,,,,,#全部設備,,,,,,,2.0,,23,,,,h,20770,,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,歡迎來到溪南國中,,1,,,,
5,,,,,,台中市溪南國中,1,,,,,1,1962,,,,,#全部設備,,,,,,,2.0,,23,,,,h,20770,,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,歡迎來到溪南國中,,1,,,,
6,,,,,,台中市溪南國中,1,,,,,1,1962,,,,,全部設備,,,,,,,2.0,,10,,,,i,,3840,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,歡迎來到溪南國中,,1,,,,
7,,,6,30,0,台中市溪南國中,1,,,,,1,1962,,,,,全部設備,,2018-12-27,,0,0,0,1.0,,,,,,,,3839,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,"溪南國中
",,1,,,,
8,,,,,,Camcor,1,,,,,1,1559,,,,,All device,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Don't eat at taco bell,,1,,,,
9,,,,,,Camcor,1,,,,,1,2045,,,,,demo 1,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
10,,,,,,Camcor,1,,,,,1,2045,,,,,demo 1,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
11,,,,,,Camcor,3,,,,236.0,1,2045,,https://youtu.be/U9t-slLl30E,,,demo 1,1,,,,,,,,,0,0,0,,,,,0.0,,,,,3,U9t-slLl30E,1.0,"""SEAGULLS! (Stop It Now)"" -- A Bad Lip Reading of The Empire Strikes Back",
12,,,,,,Camcor,1,,,,,1,2045,,,,,demo 1,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,blink twice if i should delete your device,,1,,,,
13,,,,,,Camcor,1,,,,,1,1559,,,,,All device,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Snow coming - school is closing early,,1,,,,
14,,,,,,Camcor,3,,,,236.0,1,1559,,https://www.youtube.com/watch?v=U9t-slLl30E,,,All device,1,,,,,,,,,0,0,0,,,,,0.0,,,,,3,U9t-slLl30E,1.0,"""SEAGULLS! (Stop It Now)"" -- A Bad Lip Reading of The Empire Strikes Back",
15,,,,,,Camcor,1,,,,,0,4226,,,,,Bomb Diggity,,,,,,,2.0,,10,,,,i,,3116,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,This is a Test!,,1,,,,
16,,,,,,BG Innovations,1,,,,,1,1911,,,,,All device,,,,,,,2.0,,10,,,,i,,3772,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
17,,,,,,BG Innovations,3,,,,208.0,1,1911,,https://youtu.be/xDMP3i36naA,,,All device,1,,,,,,,,,0,0,0,,,,,0.0,,,,,3,xDMP3i36naA,1.0,WILDLIFE IN 4K (ULTRA HD) 60fps,
18,1,,0,0,0,New Smart,3,,,,275.0,0,4257,,https://www.youtube.com/watch?v=bS2a8-dwf84,,,Benq Demo Room,,2019-01-23,,0,0,0,,,,,,,,22159,,,0.0,,,,,3,bS2a8-dwf84,1.0,BenQ Education IFP Product Video,
19,1,,17,0,0,New Smart,1,,,,,0,4257,,,,,Benq Demo Room,,2019-01-26,,9,30,0,2.0,,,,,,,,3408,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Welcome to BQME,,1,,,,
20,1,,13,0,0,New Smart,3,,,,275.0,0,4257,,https://www.youtube.com/watch?v=bS2a8-dwf84,,,Benq Demo Room,,2019-01-24,,12,30,0,,,,,,,,,,,0.0,,,,,3,bS2a8-dwf84,1.0,BenQ Education IFP Product Video,
21,1,,0,0,0,New Smart,1,,,,,0,4257,,,,,Benq Demo Room,,2019-01-22,,0,0,0,1.0,,,,,,,22162,,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Welcome to BQME,,1,,,,
22,1,,16,0,0,New Smart,1,,,,,0,4257,,,,,Benq Demo Room,,2019-01-24,,5,0,0,1.0,,,,,,,,3407,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Welcome to BQME,,1,,,,
23,1,,0,0,0,New Smart,1,,,,,0,4257,,,,,Benq Demo Room,,2019-01-24,,0,0,0,2.0,,,,,,,22165,,,,"{""font_size"":""3"",""font_color"":""#9900ff"",""background_color"":""#ffd9ead3"",""scroll_direction"":""left""}",Notice_2,Welcome to BQME,,1,,,,
