"id";"mct_company_id";"enable_flag";"name";"pairing_code";"nation_region_id";"total_space";"free_space";"created_at";"updated_at";"group";"status";"device_count";"warning_mail";"bdp_keep_last_at";"good_at";"expired_at"
"1";"1";"Y";"BenQ";"0000";"218";"2097152";"2097152";"2015-05-23 01:02:01";"2019-10-17 16:00:10";"T";"Y";"0";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"1001";"Y";"Admin";"LTQY";"212";"2097152";"1446161";"2015-05-23 01:02:01";"2019-10-17 16:00:10";"T";"Y";"6";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"253";"1002";"Y";"明基科技";"TSSM";"45";"2097152";"2097152";"2015-12-07 10:13:09";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"254";"1003";"Y";"明基电通";"R2IH";"45";"2097152";"2097152";"2015-12-07 10:18:56";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"255";"1004";"Y";"benq";"MRGH";"45";"2097152";"2097152";"2015-12-08 11:13:27";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"256";"1005";"Y";"永辉会员店";"NGHU";"45";"104857600";"104857600";"2015-12-18 10:23:47";"2019-10-17 16:00:10";"P";"E";"0";"0";"2017-12-21 23:59:59";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"258";"1006";"Y";"elle1221a";"P6FU";"218";"104857600";"104843332";"2015-12-21 19:12:38";"2019-10-17 16:00:10";"P";"Y";"0";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"259";"1007";"Y";"elle1221aa";"8ZBG";"218";"2097152";"2097152";"2015-12-21 19:18:58";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"260";"1008";"Y";"明基电通";"2HO5";"45";"2097152";"2097152";"2015-12-22 10:51:41";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"261";"1009";"Y";"明基电通";"QJLA";"45";"2097152";"2097152";"2015-12-23 09:29:02";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"263";"1010";"Y";"benq";"UG1U";"218";"2097152";"2097152";"2015-12-24 10:47:27";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"264";"1011";"Y";"BenQ";"EE7X";"45";"2097152";"2097152";"2015-12-24 11:05:17";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"265";"1012";"Y";"明基电通";"0E9M";"45";"2097152";"2097152";"2015-12-25 16:45:00";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"266";"1013";"Y";"BenQ";"23KI";"45";"2097152";"2097152";"2015-12-28 10:13:20";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"267";"1014";"Y";"明基电通";"GNMG";"45";"2097152";"2097152";"2015-12-28 11:09:19";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"268";"1015";"Y";"benq";"S6W8";"45";"2097152";"2097152";"2015-12-29 08:07:24";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"269";"1016";"Y";"benq";"NDIO";"45";"2097152";"2097152";"2015-12-29 08:27:48";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"270";"1017";"Y";"benq";"WN9T";"45";"2097152";"2097152";"2015-12-29 08:29:53";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"271";"1018";"Y";"benq";"H1ZP";"46";"2097152";"2097152";"2015-12-30 15:19:42";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"272";"1019";"Y";"partner";"O5PN";"45";"2097152";"2097152";"2016-01-04 11:16:06";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"273";"1020";"Y";"上海来伊份股份有限公司";"V8UA";"45";"2097152";"2097152";"2016-01-05 10:26:28";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"274";"1021";"Y";"同辉佳视（北京）信息技术股份有限";"KRLD";"143";"2097152";"2097152";"2016-01-06 19:21:47";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"275";"1022";"Y";"BenQ";"FBWW";"218";"104857600";"104857600";"2016-01-07 10:17:41";"2019-10-17 16:00:10";"P";"E";"0";"0";"2018-07-25 23:59:59";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"276";"1023";"Y";"BenQ";"QNEE";"45";"2097152";"2097152";"2016-01-07 11:20:15";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"277";"1024";"Y";"悠客生活";"K4C3";"45";"2097152";"2097152";"2016-01-07 13:05:50";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"278";"1025";"Y";"BenQ";"JEZA";"218";"2097152";"2097152";"2016-01-07 19:29:59";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"279";"1026";"Y";"PARTNER";"PAGE";"45";"104857600";"102749993";"2016-01-12 13:42:54";"2019-10-17 16:00:10";"P";"Y";"0";"1";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"280";"1027";"Y";"LeYOU";"LVCW";"1";"2097152";"2097152";"2016-01-15 11:01:01";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"281";"1028";"Y";"BenQ";"23OP";"218";"2097152";"2097152";"2016-01-19 13:38:11";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"282";"1029";"Y";"电竞馆";"RDHN";"45";"2097152";"2097152";"2016-01-19 13:53:51";"2019-10-17 16:00:10";"T";"E";"13";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"284";"1030";"Y";"test123";"U30I";"45";"2097152";"2097152";"2016-02-03 13:20:22";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"285";"1031";"Y";"csoftech";"2QWW";"45";"104857600";"101650630";"2016-02-15 16:52:54";"2019-10-17 16:00:10";"P";"Y";"0";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"286";"1032";"Y";"BENQ";"SKQS";"218";"2097152";"2097152";"2016-02-20 11:01:50";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"287";"1033";"Y";"benq";"QN65";"45";"2097152";"2097152";"2016-02-24 10:26:46";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"288";"1034";"Y";"永辉会员店总部管理";"YRZM";"45";"104857600";"102768474";"2016-03-17 21:36:12";"2019-10-17 16:00:10";"P";"Y";"25";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"289";"1035";"Y";"福州新雅图网络科技有限公司";"VTNQ";"45";"2097152";"2097152";"2016-03-18 11:16:56";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"290";"1036";"Y";"朵瑞";"WSU2";"45";"2097152";"2097152";"2016-03-18 15:33:20";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"291";"1037";"Y";"电竞馆";"N3BF";"45";"2097152";"2097152";"2016-03-21 17:29:35";"2019-10-17 16:00:10";"T";"E";"12";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"292";"1038";"Y";"LC";"SMMM";"45";"2097152";"2097152";"2016-03-30 23:32:47";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"293";"1039";"Y";"BenQ";"WSC9";"218";"2097152";"2097152";"2016-04-01 10:49:00";"2019-10-17 16:00:10";"T";"Y";"0";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"296";"1040";"Y";"MJDT";"RMHI";"45";"2097152";"2097152";"2016-04-05 15:58:39";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"297";"1041";"Y";"TaiXing";"USLK";"45";"2097152";"2097152";"2016-04-13 11:43:15";"2019-10-17 16:00:10";"T";"E";"0";"0";"2017-09-06 16:00:16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"298";"1042";"Y";"BenQ";"AO8B";"218";"104857600";"102173192";"2016-04-22 14:18:18";"2019-10-17 16:00:10";"P";"Y";"0";"0";NULL;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
