"description";"SHID";"COMID";"COMNM"
"{""id"":""930"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Hello"",""select_style_id"":""1857"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"19594";"1188";"Unique Business"
"{""id"":""1859"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""Hello"",""text_content"":""hi"",""select_style_id"":""1858"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"19595";"1188";"Unique Business"
"{""id"":""1900"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""TestChannel"",""open_date"":""2018-12-06"",""open_loop"":""1"",""all_day"":""1"",""cycle"":""week"",""cycle_day"":""1"",""cycle_week"":""1"",""close_date"":""2018-12-06"",""week"":[""sun"",""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""open_time_h"":null,""open_time_i"":null,""open_time_s"":null,""close_time_h"":null,""close_time_i"":null,""close_time_s"":null,""text_content"":""Hello World"",""select_style_id"":""3749"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"19954";"2355";"EDICO"
"{""id"":""1900"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""TestChannel"",""open_date"":""2018-12-06"",""open_loop"":""1"",""all_day"":""1"",""cycle"":""day"",""cycle_day"":""1"",""cycle_week"":""1"",""close_date"":""2018-12-06"",""week"":[""sun"",""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""open_time_h"":null,""open_time_i"":null,""open_time_s"":null,""close_time_h"":null,""close_time_i"":null,""close_time_s"":null,""text_content"":""test"",""select_style_id"":""3749"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"19955";"2355";"EDICO"
"{""id"":""1962"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""#\u5168\u90e8\u8a2d\u5099"",""schedule_head_id"":""20770"",""text_content"":""\u6b61\u8fce\u4f86\u5230\u6eaa\u5357\u570b\u4e2d"",""play_time"":""23"",""play_time_unit"":""h"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"20770";"2400";"台中市溪南國中"
"{""id"":""1962"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""#\u5168\u90e8\u8a2d\u5099"",""schedule_head_id"":""20770"",""text_content"":""\u6b61\u8fce\u4f86\u5230\u6eaa\u5357\u570b\u4e2d"",""play_time"":""23"",""play_time_unit"":""h"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"20770";"2400";"台中市溪南國中"
"{""id"":""1962"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""text_content"":""\u6b61\u8fce\u4f86\u5230\u6eaa\u5357\u570b\u4e2d"",""select_style_id"":""3840"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"20771";"2400";"台中市溪南國中"
"{""id"":""1962"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""\u5168\u90e8\u8a2d\u5099"",""open_date"":""2018-12-27"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""6"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""\u6eaa\u5357\u570b\u4e2d\r\n"",""select_style_id"":""3839"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"20776";"2400";"台中市溪南國中"
"{""id"":""1559"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Don't eat at taco bell"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"21972";"2042";"Camcor"
"{""id"":""2045"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""demo 1"",""text_content"":""hello"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"21973";"2042";"Camcor"
